WEEK,price,City
1,276.697688001947,rhode island
2,274.9412022389876,rhode island
3,275.0502311998053,rhode island
4,275.26415186176683,rhode island
5,275.6689218788026,rhode island
6,276.56232660014604,rhode island
7,276.42954490143586,rhode island
8,248.04574105621805,rhode island
9,241.35930883426624,rhode island
10,242.08279386712096,rhode island
11,245.90080311511318,rhode island
12,246.15405208079824,rhode island
13,247.09724993915793,rhode island
14,252.4806522268192,rhode island
15,252.8473594548552,rhode island
16,254.84614261377465,rhode island
17,256.1379897785349,rhode island
18,263.7177415429545,rhode island
19,266.8550498904843,rhode island
20,271.1458749087369,rhode island
21,283.17624726210755,rhode island
22,280.8750547578486,rhode island
23,280.5186663421757,rhode island
24,280.2815770260404,rhode island
25,283.8272572402044,rhode island
26,288.73210026770505,rhode island
27,303.56310537843757,rhode island
28,299.6043319542468,rhode island
29,302.59133609150643,rhode island
30,306.3216841080555,rhode island
31,307.30411292285225,rhode island
32,303.10995376003893,rhode island
33,303.4374787052811,rhode island
34,303.32825504989046,rhode island
35,304.95648576295935,rhode island
36,293.163640788513,rhode island
37,290.2902409345339,rhode island
38,287.82511559990263,rhode island
39,287.53740569481624,rhode island
40,284.3403261134096,rhode island
41,284.51233876855684,rhode island
42,279.5309807739109,rhode island
43,278.83523971769284,rhode island
44,276.8585543927963,rhode island
45,274.7681187636895,rhode island
46,274.84711608663906,rhode island
47,275.453005597469,rhode island
48,275.8608420540277,rhode island
49,274.4589924555853,rhode island
50,274.5701630567048,rhode island
51,275.4353370649793,rhode island
52,277.04005840837186,rhode island
