Day,Detail,Moonphase,Summary,Sunrise,Sunset,cloudCover,dewPoint,humidity,precipIntensity,precipIntensityMax,precipProbability,pressure,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,visibility,windGust,windGustTime,windSpeed
1493985600,clear-day,0.34,Clear throughout the day.,1493985380,1494035966,0.07,34.58,0.38,0.0,0.0,0.0,1014.24,78.63,1494021600,46.37,1493985600,3.54,9.42,1494021600,0.79
1494072000,partly-cloudy-night,0.37,Partly cloudy starting in the afternoon.,1494071713,1494122426,0.25,35.58,0.32,0.0,0.0,0.0,1006.72,84.63,1494100800,53.01,1494072000,3.73,16.74,1494126000,1.94
1494158400,rain,0.4,"Light rain starting in the afternoon, continuing until evening.",1494158048,1494208886,0.59,40.72,0.43,0.0016,0.0205,0.71,1004.97,78.0,1494190800,55.49,1494219600,3.99,19.03,1494194400,1.28
1494244800,rain,0.44,Rain starting in the afternoon.,1494244384,1494295345,0.64,45.92,0.68,0.0113,0.0614,1.0,1011.49,67.81,1494270000,50.69,1494244800,3.95,12.95,1494277200,1.56
1494331200,partly-cloudy-day,0.47,Mostly cloudy throughout the day.,1494330721,1494381805,0.86,47.95,0.73,0.0008,0.0084,0.52,1011.03,64.48,1494367200,50.04,1494331200,3.98,8.4,1494349200,0.28
1494417600,rain,0.51,Light rain in the afternoon and evening.,1494417060,1494468264,0.94,46.34,0.83,0.0073,0.0305,0.92,1012.46,55.98,1494396000,48.41,1494478800,3.04,11.0,1494453600,2.72
1494504000,partly-cloudy-day,0.53,Mostly cloudy until afternoon.,1494503400,1494554722,0.64,42.66,0.69,0.0018,0.017,0.6,1019.19,64.7,1494543600,46.21,1494504000,3.82,10.0,1494532800,1.64
1494590400,partly-cloudy-night,0.56,Partly cloudy starting in the evening.,1494589741,1494641180,0.12,41.21,0.5,0.0,0.0,0.0,1013.17,78.73,1494622800,44.82,1494590400,4.01,14.64,1494633600,2.34
1494676800,partly-cloudy-day,0.59,Partly cloudy until evening.,1494676084,1494727638,0.31,35.25,0.35,0.0,0.0,0.0,1001.4,84.1,1494716400,50.71,1494676800,4.38,16.0,1494734400,2.11
1494763200,partly-cloudy-day,0.62,Partly cloudy starting in the afternoon.,1494762429,1494814096,0.26,34.21,0.34,0.0,0.0,0.0,1005.79,74.26,1494799200,50.9,1494763200,4.03,11.83,1494774000,1.32
1494849600,partly-cloudy-day,0.65,Partly cloudy throughout the day.,1494848775,1494900553,0.42,36.31,0.37,0.0,0.0,0.0,1001.86,79.96,1494885600,52.49,1494849600,3.85,13.09,1494885600,0.02
1494936000,partly-cloudy-day,0.68,Mostly cloudy starting in the afternoon.,1494935123,1494987009,0.37,36.62,0.45,0.0003,0.0028,0.29,999.64,69.99,1494957600,48.16,1494997200,3.93,15.59,1494964800,1.47
1495022400,rain,0.71,Rain starting in the evening.,1495021472,1495073465,0.64,34.05,0.51,0.0081,0.0907,0.99,998.94,70.85,1495051200,42.49,1495083600,3.73,17.42,1495072800,1.16
1495108800,rain,0.74,Mixed precipitation (1–2 in. of snow) until evening.,1495107823,1495159920,1.0,32.88,0.88,0.0376,0.0822,0.88,1010.3,41.69,1495087200,34.17,1495162800,1.49,14.48,1495148400,3.27
1495195200,rain,0.78,Light rain until afternoon.,1495194176,1495246375,1.0,32.54,0.84,0.007,0.0261,0.58,1019.5,39.6,1495220400,34.05,1495191600,2.66,12.41,1495216800,2.92
1495281600,partly-cloudy-day,0.81,Partly cloudy in the morning.,1495280530,1495332829,0.57,30.81,0.57,0.0003,0.0025,0.11,1017.87,61.22,1495321200,32.5,1495281600,3.89,13.03,1495314000,1.17
1495368000,rain,0.85,Light rain overnight.,1495366886,1495419282,0.48,34.79,0.53,0.0015,0.0158,0.7,1019.01,66.47,1495400400,40.16,1495368000,3.68,12.88,1495411200,0.92
1495454400,rain,0.88,Light rain in the evening.,1495453244,1495505735,0.66,38.07,0.66,0.0074,0.0396,0.94,1019.1,66.15,1495486800,43.04,1495515600,3.8,20.48,1495494000,1.22
1495540800,partly-cloudy-day,0.92,Mostly cloudy until evening.,1495539603,1495592187,0.59,33.65,0.55,0.0,0.0,0.0,1019.14,62.34,1495584000,39.25,1495540800,3.9,13.19,1495562400,2.01
