Day,Detail,Moonphase,Summary,Sunrise,Sunset,cloudCover,dewPoint,humidity,precipIntensity,precipIntensityMax,precipProbability,pressure,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,visibility,windGust,windGustTime,windSpeed
1493985600,rain,0.34,"Heavy rain starting in the afternoon, continuing until evening.",1493977104,1494028147,0.89,48.56,0.88,0.0454,0.3146,1.0,1013.41,57.19,1494039600,48.04,1493956800,6.72,19.78,1494010800,5.37
1494072000,rain,0.37,Rain until afternoon.,1494063433,1494114611,0.95,55.8,0.93,0.0098,0.0651,0.99,1000.38,62.46,1494100800,53.73,1494126000,7.21,18.66,1494068400,6.12
1494158400,partly-cloudy-day,0.4,Mostly cloudy throughout the day.,1494149763,1494201075,0.66,47.19,0.8,0.0,0.0009,0.0,1003.24,57.46,1494172800,50.21,1494212400,10.0,16.55,1494172800,6.8
1494244800,partly-cloudy-day,0.43,Mostly cloudy until evening.,1494236094,1494287539,0.57,35.92,0.63,0.0,0.0,0.0,1009.2,53.25,1494277200,42.66,1494237600,10.0,14.88,1494262800,5.3
1494331200,partly-cloudy-day,0.46,Mostly cloudy throughout the day.,1494322427,1494374003,0.7,36.75,0.67,0.0,0.0,0.0,1015.05,54.0,1494356400,40.73,1494316800,10.0,8.21,1494360000,0.33
1494417600,partly-cloudy-day,0.49,Mostly cloudy throughout the day.,1494408762,1494460466,0.83,37.91,0.63,0.0,0.0,0.0,1015.63,56.12,1494439200,44.04,1494410400,10.0,8.74,1494424800,1.76
1494504000,partly-cloudy-day,0.53,Mostly cloudy throughout the day.,1494495097,1494546929,0.78,41.57,0.69,0.0,0.0,0.0,1015.8,57.38,1494532800,46.95,1494496800,10.0,10.37,1494522000,3.56
1494590400,partly-cloudy-day,0.56,Mostly cloudy throughout the day.,1494581435,1494633391,0.64,44.2,0.81,0.0,0.0,0.0,1017.5,57.17,1494619200,42.52,1494579600,9.95,9.85,1494608400,3.17
1494676800,rain,0.59,Rain starting in the evening.,1494667774,1494719853,0.88,43.92,0.83,0.0051,0.06,1.0,1014.4,54.16,1494698400,45.21,1494655200,9.57,12.79,1494705600,3.77
1494763200,rain,0.62,Rain in the morning.,1494754114,1494806315,0.98,45.67,0.9,0.0398,0.1556,1.0,1000.8,51.88,1494799200,46.56,1494756000,6.43,22.87,1494734400,9.0
1494849600,rain,0.65,Light rain until afternoon.,1494840456,1494892776,0.92,47.1,0.82,0.0035,0.0166,0.99,1001.43,58.66,1494889200,48.45,1494842400,9.95,14.44,1494853200,4.85
1494936000,partly-cloudy-night,0.68,Partly cloudy starting in the evening.,1494926800,1494979236,0.08,48.49,0.58,0.0,0.0,0.0,1011.96,75.97,1494957600,52.64,1494910800,10.0,11.46,1494964800,3.53
1495022400,partly-cloudy-night,0.71,Partly cloudy in the morning.,1495013145,1495065696,0.14,55.51,0.63,0.0,0.0,0.0,1013.63,80.18,1495051200,56.83,1495011600,10.0,15.74,1495044000,4.16
1495108800,partly-cloudy-night,0.74,Partly cloudy overnight.,1495099492,1495152155,0.01,61.94,0.64,0.0,0.0,0.0,1011.32,86.15,1495123200,65.44,1495101600,9.96,13.25,1495144800,4.58
1495195200,partly-cloudy-day,0.78,Partly cloudy starting in the afternoon.,1495185841,1495238613,0.25,62.12,0.64,0.0,0.0004,0.0,1010.59,87.82,1495213200,63.59,1495184400,9.9,11.89,1495216800,2.27
1495281600,partly-cloudy-day,0.81,Mostly cloudy until afternoon.,1495272192,1495325071,0.42,42.63,0.56,0.0,0.0,0.0,1023.71,65.78,1495252800,50.65,1495335600,10.0,12.41,1495256400,3.25
1495368000,partly-cloudy-day,0.85,Partly cloudy until afternoon.,1495358544,1495411528,0.12,42.21,0.63,0.0,0.0,0.0,1027.44,65.26,1495393200,45.27,1495360800,10.0,9.45,1495400400,1.91
1495454400,rain,0.88,Rain starting in the afternoon.,1495444898,1495497984,0.9,48.75,0.84,0.0148,0.0663,1.0,1020.75,56.07,1495508400,51.74,1495483200,8.28,9.78,1495465200,3.51
1495540800,partly-cloudy-day,0.92,Partly cloudy throughout the day.,1495531254,1495584439,0.55,53.46,0.79,0.0019,0.0194,1.0,1011.89,70.0,1495566000,54.11,1495533600,8.79,9.03,1495548000,1.44
1495627200,partly-cloudy-day,0.95,Mostly cloudy throughout the day.,1495617611,1495670894,0.65,53.01,0.8,0.0003,0.0039,0.61,1008.68,66.51,1495652400,55.07,1495620000,9.95,10.29,1495652400,2.83
1495713600,rain,0.98,"Heavy rain until afternoon, starting again overnight.",1495703971,1495757347,0.81,52.87,0.93,0.0081,0.0402,1.0,1006.91,56.23,1495742400,53.34,1495767600,5.29,15.68,1495728000,5.72
1495800000,rain,0.04,Rain in the morning.,1495790332,1495843799,0.99,52.79,0.95,0.0297,0.2292,1.0,1000.94,58.27,1495839600,50.67,1495803600,8.98,10.81,1495782000,2.75
1495886400,partly-cloudy-day,0.07,Mostly cloudy until evening.,1495876695,1495930251,0.67,52.61,0.81,0.0,0.0,0.0,1010.87,65.72,1495911600,53.56,1495875600,10.0,7.29,1495918800,0.47
1495972800,partly-cloudy-day,0.11,Mostly cloudy until evening.,1495963060,1496016701,0.7,52.51,0.82,0.0,0.0,0.0,1015.07,64.57,1495990800,53.0,1496026800,10.0,9.78,1495990800,3.28
1496059200,rain,0.15,Rain until afternoon.,1496049427,1496103150,0.78,49.81,0.93,0.0114,0.0609,0.99,1016.29,53.74,1496080800,50.21,1496113200,9.11,10.25,1496066400,4.19
1496145600,fog,0.18,Foggy overnight.,1496135796,1496189598,0.98,51.61,0.92,0.0,0.0,0.0,1021.64,60.12,1496167200,49.74,1496127600,8.72,7.91,1496163600,1.57
1496232000,rain,0.22,Light rain in the afternoon.,1496222167,1496276044,1.0,57.36,0.97,0.0058,0.0481,0.8,1017.09,63.68,1496257200,52.86,1496203200,3.69,6.08,1496260800,1.62
1496318400,partly-cloudy-day,0.25,Partly cloudy until evening.,1496308540,1496362490,0.44,57.31,0.8,0.0011,0.0171,0.78,1012.38,74.19,1496340000,56.33,1496311200,9.36,11.31,1496340000,2.89
1496404800,partly-cloudy-day,0.29,"Mostly cloudy starting in the afternoon, continuing until evening.",1496394914,1496448934,0.29,48.31,0.66,0.0009,0.0077,0.68,1013.22,68.0,1496419200,52.39,1496397600,10.0,13.61,1496433600,2.62
1496491200,partly-cloudy-day,0.32,Mostly cloudy throughout the day.,1496481291,1496535377,0.48,47.75,0.67,0.0,0.0,0.0,1012.67,66.68,1496527200,48.16,1496480400,10.0,11.2,1496509200,3.02
1496577600,rain,0.35,Light rain starting in the evening.,1496567670,1496621818,0.44,51.59,0.75,0.0051,0.0465,0.96,1014.46,69.78,1496592000,51.25,1496566800,9.78,9.86,1496602800,1.79
1496664000,rain,0.38,Light rain in the morning.,1496654050,1496708258,1.0,55.11,0.95,0.0063,0.0254,0.98,1009.49,58.69,1496685600,54.29,1496718000,7.89,9.9,1496700000,3.63
1496750400,rain,0.41,Light rain in the evening.,1496740433,1496794697,1.0,49.28,0.93,0.0057,0.0406,0.77,1008.37,53.95,1496721600,48.82,1496790000,8.59,17.2,1496772000,7.8
1496836800,partly-cloudy-day,0.44,Mostly cloudy until afternoon.,1496826818,1496881134,0.63,49.83,0.79,0.0008,0.0055,0.75,1014.2,67.58,1496865600,49.08,1496808000,9.33,11.44,1496854800,3.09
1496923200,partly-cloudy-night,0.47,Mostly cloudy starting in the evening.,1496913204,1496967569,0.18,48.77,0.76,0.0,0.0,0.0,1015.66,66.01,1496941200,47.66,1496912400,9.92,8.73,1496944800,1.43
1497009600,partly-cloudy-day,0.51,"Partly cloudy starting in the afternoon, continuing until evening.",1496999593,1497054003,0.47,52.44,0.66,0.0,0.0005,0.0,1005.98,77.67,1497034800,54.83,1497002400,10.0,11.14,1497031200,2.64
1497096000,partly-cloudy-night,0.54,Partly cloudy overnight.,1497085984,1497140435,0.11,56.49,0.65,0.0,0.0,0.0,1014.14,79.31,1497106800,57.34,1497085200,10.0,10.36,1497114000,3.26
1497182400,clear-day,0.56,Clear throughout the day.,1497172376,1497226865,0.0,62.37,0.71,0.0,0.0,0.0,1015.83,82.13,1497200400,62.75,1497171600,10.0,11.94,1497222000,4.46
1497268800,clear-day,0.6,Clear throughout the day.,1497258771,1497313294,0.0,64.41,0.66,0.0,0.0,0.0,1013.95,89.56,1497290400,64.71,1497258000,9.97,11.05,1497294000,2.91
1497355200,partly-cloudy-night,0.63,Mostly cloudy starting in the afternoon.,1497345167,1497399721,0.19,67.41,0.68,0.0,0.0003,0.0,1010.77,90.3,1497380400,68.43,1497344400,10.0,12.71,1497387600,2.99
